word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition
毛,毛,máo,mao2,1,一级,"hair/feather/down/wool/mildew/mold/coarse or semifinished/young/raw/careless/unthinking/nervous/scared/(of currency) to devalue or depreciate/classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])"
没关系,沒關係,méi guān xì,mei2 guan1 xi4,1,一级,it doesn't matter
妹妹,妹妹,mèi mèi,mei4 mei4,1,一级,younger sister/young woman/CL:個|个[ge4]
没,沒,méi,mei2,1,一级,drowned/to end/to die/to inundate
没什么,沒什麼,méi shén me,mei2 shen2 me,1,一级,nothing/it doesn't matter/it's nothing/never mind
没事儿,沒事兒,méi shì ér,mei2 shi4 er2,1,一级,to have spare time/free from work/it's not important/it's nothing/never mind
没有,沒有,méi yǒu,mei2 you3,1,一级,haven't/hasn't/doesn't exist/to not have/to not be
门,門,mén,men2,1,一级,"gate/door/CL:扇[shan4]/gateway/doorway/CL:個|个[ge4]/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/(suffix) -gate (i.e. scandal; derived from Watergate)"
门口,門口,mén kǒu,men2 kou3,1,一级,doorway/gate/CL:個|个[ge4]
们,們,men,men,1,一级,"plural marker for pronouns, and nouns referring to individuals"
门票,門票,mén piào,men2 piao4,1,一级,"ticket (for theater, cinema etc)"
米饭,米飯,mǐ fàn,mi3 fan4,1,一级,(cooked) rice
面包,麵包,miàn bāo,mian4 bao1,1,一级,"bread/CL:片[pian4],袋[dai4],塊|块[kuai4]"
面条儿,麵條兒,miàn tiáo ér,mian4 tiao2 er2,1,一级,erhua variant of 麵條|面条[mian4 tiao2]
明白,明白,míng bái,ming2 bai2,1,一级,clear/obvious/unequivocal/to understand/to realize
明年,明年,míng nián,ming2 nian2,1,一级,next year
明天,明天,míng tiān,ming2 tian1,1,一级,tomorrow
名字,名字,míng zì,ming2 zi4,1,一级,name (of a person or thing)/CL:個|个[ge4]
拿,"㧱,拿,拏",ná,na2,1,一级,to hold/to seize/to catch/to apprehend/to take/(used in the same way as 把[ba3]: to mark the following noun as a direct object)
那边,那邊,nà biān,na4 bian1,1,一级,over there/yonder
那儿,那兒,nà ér,na4 er2,1,一级,there
哪儿,哪兒,nǎ ér,na3 er2,1,一级,where?/wherever; anywhere; somewhere/(used in rhetorical questions) how can ...?; how could ...?
那里,"那裡,那裏",nà lǐ,na4 li3,1,一级,there; that place
哪里,"哪裡,哪裏",nǎ lǐ,na3 li3,1,一级,where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment
哪,哪,nǎ,na3,1,一级,"which? (interrogative, followed by classifier or numeral-classifier)"
那,那,nà,na4,1,一级,(archaic) many/beautiful/how/old variant of 挪[nuo2]
那些,那些,nà xiē,na4 xie1,1,一级,those
奶,"奶,嬭,妳",nǎi,nai3,1,一级,mother/variant of 奶[nai3]
奶奶,奶奶,nǎi nǎi,nai3 nai3,1,一级,(informal) grandma (paternal grandmother)/(respectful) mistress of the house/CL:位[wei4]/(coll.) boobies/breasts
男,男,nán,nan2,1,一级,"male/Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]"
